,매장,주소,전화번호,흡연 가능 or 안됨
0,차병원점,[<td>서울시 강남구 논현로 566 강남차병원1층  <!--span class="lot">(서울시 강남구 논현로 566 강남차병원1층)</span--></td>],02-538-7615,흡연가능
1,강남대로점,[<td>서울시 서초구 강남대로 369 1층  <!--span class="lot">(서울시 서초구 강남대로 369 1층)</span--></td>],02-588-5778,흡연가능
2,청담에스점,"[<td>서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  <!--span class="lot">(서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호)</span--></td>]",02-548-6052,흡연가능
3,신사점,[<td>서울시 강남구 도산대로 126  <!--span class="lot">(서울시 강남구 도산대로 126)</span--></td>],02-548-2741,흡연가능
4,역삼점,"[<td>서울시 강남구 논현로 512  지상1,2층  <!--span class="lot">(서울시 강남구 논현로 512  지상1,2층)</span--></td>]",02-569-8051,흡연가능
5,양재스포타임점,[<td>서울시 서초구 강남대로 213 24호 지하1층  <!--span class="lot">(서울시 서초구 강남대로 213 24호 지하1층)</span--></td>],02-578-6833,흡연가능
6,청담성당점,[<td>서울시 강남구 삼성로 716 LEE76빌딩2층  <!--span class="lot">(서울시 강남구 삼성로 716 LEE76빌딩2층)</span--></td>],02-542-2053,흡연가능
7,영동점,[<td>서울 서초구 반포동 736-17 P빌딩 2층  <!--span class="lot">(서울 서초구 반포동 736-17 P빌딩 2층)</span--></td>],02-3443-2096,흡연가능
8,도곡점,"[<td>서울시 강남구 언주로 30길 10,112 현대비젼21 112호  <!--span class="lot">(서울시 강남구 언주로 30길 10,112 현대비젼21 112호)</span--></td>]",02-572-2781,흡연가능
9,영동고앞점,"[<td>서울시 강남구 선릉로 749 1,2층  <!--span class="lot">(서울시 강남구 선릉로 749 1,2층)</span--></td>]",02-544-3794,흡연가능
10,압구정시티점,"[<td>서울시 강남구 도산대로49길 13 1층 17,18호  <!--span class="lot">(서울시 강남구 도산대로49길 13 1층 17,18호)</span--></td>]",02-543-5922,흡연가능
11,서초우성점,[<td>서울시 서초구 강남대로 51길 1 511 TOWER  1층  <!--span class="lot">(서울시 서초구 강남대로 51길 1 511 TOWER  1층)</span--></td>],02-582-0158,흡연가능
12,논현팍스타워점,[<td>서울시 강남구 논현 231-13호 팍스타워지하1층  <!--span class="lot">(서울시 강남구 논현 231-13호 팍스타워지하1층)</span--></td>],02-513-3870,흡연가능
13,삼성오크우드점,[<td>서울 강남구 테헤란로87길 46 지하 2층  <!--span class="lot">(서울 강남구 테헤란로87길 46 지하 2층)</span--></td>],02-3466-8507,흡연가능
